Gato;Peso;Largo;Cola;Cuello;Cintura;Enfermo?
Hemoto;8;88;31;28;52;si
Benita;4.5;78;26;18;45;no
Alfonsino;5;93;33;25;40;no
Dali;2.35;73;29;16;28;si
Luna;2.2;57;23;12;24;si
Porota;2.85;72;27;18;31;no
