,latitude,longitude,hour_of_day,day_of_week,Month,parent_incident_type,Council Districts
76,42.9124492313031,-78.8624465431448,19.0,Thursday,6.0,Assault,9.0
77,42.9048472501836,-78.8137779395195,22.0,Sunday,11.0,Robbery,2.0
78,42.9317577151449,-78.8033480448919,8.0,Monday,5.0,Theft,8.0
79,42.9470758196479,-78.8268212780479,20.0,Monday,3.0,Robbery,8.0
80,42.9229429,-78.89663890000001,9.0,Wednesday,12.0,Assault,3.0
81,42.85694258054821,-78.8119587046633,16.0,Saturday,5.0,Theft,6.0
82,42.951845292610905,-78.86482834034241,21.0,Saturday,7.0,Breaking & Entering,7.0
83,42.9179562299905,-78.8010820299079,16.0,Saturday,7.0,Breaking & Entering,2.0
84,42.884145328715796,-78.879146797319,10.0,Wednesday,4.0,Theft,4.0
85,42.9164895629914,-78.80198632364791,9.0,Wednesday,11.0,Breaking & Entering,2.0
86,42.9265875010715,-78.8477991975586,23.0,Friday,10.0,Assault,9.0
87,42.95448359984779,-78.87861641184641,12.0,Wednesday,4.0,Theft,1.0
88,42.9056297314572,-78.80661438718471,14.0,Thursday,8.0,Theft of Vehicle,2.0
89,42.9239054564664,-78.8786275650658,19.0,Saturday,2.0,Theft,7.0
90,42.941083822569105,-78.8985407650215,16.0,Sunday,6.0,Theft,1.0
91,42.9051283209825,-78.8714088466539,10.0,Tuesday,1.0,Theft,4.0
92,42.8932421770214,-78.8840789099378,0.0,Saturday,3.0,Assault,5.0
93,42.939992183362,-78.8157762658703,11.0,Tuesday,7.0,Theft,9.0
94,42.872146399731704,-78.8240643820143,21.0,Thursday,8.0,Breaking & Entering,5.0
95,42.8861329817559,-78.8726358531012,22.0,Friday,7.0,Assault,4.0
96,42.9031613622304,-78.8866254282462,3.0,Friday,6.0,Robbery,3.0
97,42.926511244076295,-78.8681480503059,0.0,Sunday,1.0,Theft,7.0
98,42.8691721590425,-78.829163385316,17.0,Sunday,12.0,Theft,2.0
99,42.9215535947178,-78.88612065673009,4.0,Friday,8.0,Theft,3.0
100,42.9215509107806,-78.86569842962321,20.0,Thursday,8.0,Theft,4.0
101,42.9321969063527,-78.8048051770932,9.0,Sunday,8.0,Theft,8.0
102,42.947439460306,-78.85096826872321,11.0,Wednesday,6.0,Theft,7.0
103,42.9407899619572,-78.8638443076285,0.0,Saturday,1.0,Theft,7.0
104,42.9375675754247,-78.8425060361613,18.0,Friday,7.0,Theft,7.0
105,42.8854574,-78.83812359999999,15.0,Saturday,12.0,Assault,5.0
106,42.9269818178282,-78.8773727595206,2.0,Friday,12.0,Theft,7.0
